time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 13:49:00,Palo Alto Networks Q1 Earnings and Revenues Surpass Estimates,0.182607,Somewhat-Bullish,DOCU
2025-11-19 16:22:00,5 Value Stocks With Compelling Price-to-Sales Ratios & Growth Ahead,0.325751,Somewhat-Bullish,DOCU
2025-11-19 16:01:00,Docusign Selects Gong Revenue AI Operating System to Accelerate Sales Productivity and Drive Strategic Growth,0.50135,Bullish,DOCU
2025-11-19 15:50:00,Baidu Q3 Earnings & Revenues Beat Estimates Despite Y/Y Decline,0.087472,Neutral,DOCU
2025-11-17 22:45:02,DocuSign  ( DOCU )  Declines More Than Market: Some Information for Investors,0.16268,Somewhat-Bullish,DOCU
2025-11-13 22:35:02,Globant  ( GLOB )  Q3 Earnings Lag Estimates,0.159463,Somewhat-Bullish,DOCU
2025-11-13 18:29:00,Docusign Declines 23% in 6 Months: Should You Buy the Stock Right Now?,0.442165,Bullish,DOCU
2025-11-13 14:40:11,Alation Honors 2025 Data Radicals Award Winners at revAlation,0.514663,Bullish,DOCU
2025-11-13 14:00:04,Docusign Inc.  ( DOCU )  Is a Trending Stock: Facts to Know Before Betting on It,0.255115,Somewhat-Bullish,DOCU
2025-11-12 12:04:00,"Amdocs Q4 Earnings Surpass Estimates, Revenues Decline Y/Y",0.160409,Somewhat-Bullish,DOCU
2025-11-11 22:45:05,DocuSign  ( DOCU )  Stock Falls Amid Market Uptick: What Investors Need to Know,0.178349,Somewhat-Bullish,DOCU
2025-11-07 12:51:00,Yelp Stock Gains as Q3 Earnings and Revenues Surpass Estimates,0.163855,Somewhat-Bullish,DOCU
2025-11-07 12:49:00,EPAM Stock Gains 4% as Q3 Earnings and Revenues Beat Estimates,0.217479,Somewhat-Bullish,DOCU
2025-11-07 01:00:10,"Phunware  ( PHUN )  Reports Q3 Loss, Beats Revenue Estimates",0.119131,Neutral,DOCU
2025-11-06 13:18:00,The New York Times' Q3 Earnings Beat Confirms Digital Strategy Success,0.307558,Somewhat-Bullish,DOCU
2025-11-06 12:58:00,"Paycom Stock Declines 8% as Q3 Earnings Miss Estimates, Sales Rise Y/Y",0.165419,Somewhat-Bullish,DOCU
2025-11-06 12:56:00,"Sabre's Q3 Earnings Miss, Revenues Grow on Higher Bookings and Rates",0.143592,Neutral,DOCU
2025-11-05 21:11:00,Freshworks Expands Enterprise Service Management to Power All Business Functions - Freshworks  ( NASDAQ:FRSH ) ,0.322021,Somewhat-Bullish,DOCU
2025-11-05 12:00:00,"MVP Ventures Closes $125 Million Fund II, Reporting Top 5% TVPI Performance and Expanding Its Founder-First Model",0.334461,Somewhat-Bullish,DOCU
2025-11-04 22:45:03,DocuSign  ( DOCU )  Registers a Bigger Fall Than the Market: Important Facts to Note,0.199738,Somewhat-Bullish,DOCU
2025-10-31 13:00:02,How to Find Strong Buy Computer and Technology Stocks Using the Zacks Rank,0.329509,Somewhat-Bullish,DOCU
2025-10-30 20:02:32,Behind the Scenes of Docusign's Latest Options Trends - Docusign  ( NASDAQ:DOCU ) ,0.188984,Somewhat-Bullish,DOCU
2025-10-30 18:26:13,Why Docusign Stock Is Gaining Today? - Docusign  ( NASDAQ:DOCU ) ,0.356216,Bullish,DOCU
2025-10-30 13:00:04,Docusign Inc.  ( DOCU )  is Attracting Investor Attention: Here is What You Should Know,0.251143,Somewhat-Bullish,DOCU
2025-10-29 17:50:00,DOCU vs DUOL: Which Software Growth Stock is the Better Buy?,0.485259,Bullish,DOCU
2025-10-28 21:45:03,DocuSign  ( DOCU )  Stock Dips While Market Gains: Key Facts,0.215449,Somewhat-Bullish,DOCU
2025-10-27 18:13:00,Cognizant to Report Q3 Earnings: What's in Store for the Stock?,0.305767,Somewhat-Bullish,DOCU
