time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 12:35:00,Guess? Sets the Stage for Q3 Earnings: Things to Watch for GES Stock,0.21687,Somewhat-Bullish,AEO
2025-11-20 19:26:00,Here's How Abercrombie Stock is Poised Ahead of Q3 Earnings,0.229464,Somewhat-Bullish,AEO
2025-11-20 18:46:00,Walmart Lifts FY26 Outlook on Q3 Earnings & Revenue Beat,0.373554,Bullish,AEO
2025-11-20 15:32:00,Here's How Chewy's Autoship Is Powering a New Phase of Growth,0.304019,Somewhat-Bullish,AEO
2025-11-20 14:21:00,"SCVL Q3 Earnings & Sales Meet Estimates, Comparable Sales Dip Y/Y",0.13209,Neutral,AEO
2025-11-19 15:10:02,Williams-Sonoma  ( WSM )  Q3 Earnings and Revenues Beat Estimates,0.154983,Somewhat-Bullish,AEO
2025-11-18 16:07:00,Home Depot Stock Slips on Q3 Earnings Miss and Soft FY25 EPS View,0.069338,Neutral,AEO
2025-11-18 14:40:02,Is Sally Beauty  ( SBH )  Outperforming Other Retail-Wholesale Stocks This Year?,0.197543,Somewhat-Bullish,AEO
2025-11-17 17:28:44,Hedge Fund Heavyweight Goes Bullish on Retail Stock,0.242424,Somewhat-Bullish,AEO
2025-11-17 13:55:02,How to Find Strong Retail and Wholesale Stocks Slated for Positive Earnings Surprises,0.369897,Bullish,AEO
2025-11-17 13:38:00,Williams-Sonoma Gears Up to Report Q3 Earnings: Here's What to Expect,0.139541,Neutral,AEO
2025-11-14 14:40:04,Are Investors Undervaluing American Eagle Outfitters  ( AEO )  Right Now?,0.268765,Somewhat-Bullish,AEO
2025-11-14 13:19:00,"Europe Weakens, APAC Booms: Is Abercrombie's Global Mix an Advantage?",0.239808,Somewhat-Bullish,AEO
2025-11-14 13:09:00,"JD's Q3 Earnings Surpass Estimates, Revenues Increase Y/Y",0.246757,Somewhat-Bullish,AEO
2025-11-11 22:50:02,American Eagle Outfitters  ( AEO )  Stock Falls Amid Market Uptick: What Investors Need to Know,0.232323,Somewhat-Bullish,AEO
2025-11-11 17:46:00,"Tariffs Test Margins, Campaigns Fuel Traffic: Can AEO Balance Both?",0.306219,Somewhat-Bullish,AEO
2025-11-11 17:18:00,"Tapestry's Coach Delivers Powerful Start to FY26, Eyes $10B Target",0.366946,Bullish,AEO
2025-11-11 16:15:00,Stitch Fix Eyes Sustained RPAC Growth With Advanced AI in FY26,0.452652,Bullish,AEO
2025-11-11 14:00:03,"Investors Heavily Search American Eagle Outfitters, Inc.  ( AEO ) : Here is What You Need to Know",0.22419,Somewhat-Bullish,AEO
2025-11-10 15:51:00,Dillard's Pre-Q3 Earnings Indicate Mixed Trends: Is It Worth Buying?,0.240882,Somewhat-Bullish,AEO
2025-11-07 16:33:00,TPR Stock Falls 10% Despite Q1 Earnings Beat & Raised FY26 Outlook,0.195495,Somewhat-Bullish,AEO
2025-11-07 01:00:04,"Allbirds, Inc.  ( BIRD )  Reports Q3 Loss, Lags Revenue Estimates",0.130699,Neutral,AEO
2025-11-06 17:25:00,American Eagle's Denim Dominance Returns: Will Global Growth Follow?,0.389143,Bullish,AEO
2025-11-06 16:46:00,"SHOO Q3 Earnings Lag Estimates, Shares Up on Promising Q4 Guidance",0.118506,Neutral,AEO
2025-11-06 13:55:02,How to Boost Your Portfolio with Top Retail and Wholesale Stocks Set to Beat Earnings,0.303555,Somewhat-Bullish,AEO
2025-11-05 22:55:02,"a.k.a. Brands  ( AKA )  Reports Q3 Loss, Misses Revenue Estimates",0.130981,Neutral,AEO
2025-11-05 18:00:00,WWW Q3 Earnings & Sales Beat Estimates on Broad-Based Brand Momentum,0.183888,Somewhat-Bullish,AEO
2025-11-05 17:37:20,Why Fast-paced Mover American Eagle  ( AEO )  Is a Great Choice for Value Investors,0.262735,Somewhat-Bullish,AEO
2025-11-04 18:48:00,"CPRI Posts Q2 Loss, Y/Y Declines in Michael Kors & Jimmy Choo Revenues",0.038417,Neutral,AEO
2025-11-03 22:50:01,American Eagle Outfitters  ( AEO )  Stock Sinks As Market Gains: What You Should Know,0.166783,Somewhat-Bullish,AEO
