time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:32:08,Tech Investor and Glass Innovator Joins SolarWindow Board of Directors - SolarWindow Technologies  ( OTC:WNDW ) ,0.167338,Somewhat-Bullish,META
2025-11-21 13:32:00,Tech Investor and Glass Innovator Joins SolarWindow Board of Directors,0.169792,Somewhat-Bullish,META
2025-11-21 13:04:00,"Zomee Announces Early Black Friday, Cyber Mom-Day Deals and Gifting Ideas for Moms",0.507122,Bullish,META
2025-11-21 12:00:00,Nvidia Earnings: Is the Central Bank of the AI Revolution Still a Buy After Q3 Results?,0.134902,Neutral,META
2025-11-21 11:15:00,This Is the Most Overlooked Semiconductor Stock Powering the Artificial Intelligence  ( AI )  Infrastructure Boom,0.213503,Somewhat-Bullish,META
2025-11-21 11:00:00,"Great American Media Celebrates ""Christmas as It's Meant to Be"" as the Exclusive Broadcast Home of the 2025 National Christmas Tree Lighting",0.407375,Bullish,META
2025-11-21 10:11:00,"The Zacks Analyst Blog Highlights Dell, Hewlett-Packard, NVIDIA and Microsoft",0.279533,Somewhat-Bullish,META
2025-11-21 09:32:00,Here's 1 Number From Nvidia That You Shouldn't Ignore. It Says Something Momentous About the AI Giant's Growth.,0.286251,Somewhat-Bullish,META
2025-11-21 08:21:00,Hang Feng Technology Innovation and Animoca Brands Announce MOU for Strategic Partnership - Hang Feng Tech Innovation  ( NASDAQ:FOFO ) ,0.180041,Somewhat-Bullish,META
2025-11-21 08:00:00,Bitget Wallet Adds Gas-Free Transactions on Sei Network,0.301087,Somewhat-Bullish,META
2025-11-21 08:00:00,"CreatorWeek Macao 2025 Wraps Up, Showcasing Macao as a Vibrant Global Creative Hub",0.469533,Bullish,META
2025-11-21 04:42:07,"Nework Announces Black Friday Savings on Smart Boards & Portable TVs for Learning, Working, and Entertainment",0.466865,Bullish,META
2025-11-21 01:36:00,Blaze Pizza Kicks Off Black Friday and Cyber Monday With Free Large Pizza for Digital Orders Over $20,0.444719,Bullish,META
2025-11-21 00:25:00,"ROSEN, NATIONAL TRIAL LAWYERS, Encourages Primo Brands Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action - PRMB, PRMW - Primo Brands  ( NYSE:PRMB ) ",0.167858,Somewhat-Bullish,META
2025-11-20 23:49:00,"ROSEN, A LONGSTANDING LAW FIRM, Encourages Perrigo Company plc Investors to Secure Counsel Before Important Deadline in Securities Class Action -PRGO - Perrigo  ( NYSE:PRGO ) ",0.122394,Neutral,META
2025-11-20 23:35:00,"ROSEN, SKILLED INVESTOR COUNSEL, Encourages DexCom, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - DXCM - DexCom  ( NASDAQ:DXCM ) ",0.093912,Neutral,META
2025-11-20 23:22:54,"As the market reverses hard, Jim Cramer recommends waiting to buy",0.128683,Neutral,META
2025-11-20 22:47:00,"Haisley Unveils New Single ""The Good in Me""",0.445127,Bullish,META
2025-11-20 22:44:00,"ROSEN, A GLOBAL AND LEADING LAW FIRM, Encourages Skye Bioscience, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - SKYE - Skye Bioscience  ( NASDAQ:SKYE ) ",0.122557,Neutral,META
2025-11-20 21:57:00,"Bragar Eagel & Squire, P.C. Reminds Investors of Telix, Freeport, and Primo Brands to Contact the Firm About their Rights Before Lead Plaintiff Deadlines - Primo Brands  ( NYSE:PRMB ) , Freeport-McMoRan  ( NYSE:FCX ) ",-0.106665,Neutral,META
2025-11-20 21:49:00,"Bragar Eagel & Squire, P.C. Reminds Investors of Stride, Firefly, Six Flags, and Inspire Medical To Contact the Firm Regarding Class Action Deadlines - Firefly Aerospace  ( NASDAQ:FLY ) , Six Flags Entertainment  ( NYSE:FUN ) ",0.002451,Neutral,META
2025-11-20 21:35:38,"ROSEN, A LEADING LAW FIRM, Encourages Stride, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - LRN - Stride  ( NYSE:LRN ) ",0.152583,Somewhat-Bullish,META
2025-11-20 21:29:00,"Bragar Eagel & Squire, P.C. Is Investigating Gauzy and Zimmer Biomet and Encourages Investors to Contact the Firm - Zimmer Biomet Holdings  ( NYSE:ZBH ) , Gauzy  ( NASDAQ:GAUZ ) ",-0.002389,Neutral,META
2025-11-20 20:33:15,Backyard Discovery Brings Decades of Outdoor Living Expertise into the Wellness Space with a Full Line of Premium Infrared and Traditional Saunas; Setting a New Standard for Quality and Performance,0.437358,Bullish,META
2025-11-20 20:30:00,Prediction: This Artificial Intelligence  ( AI )  Stock Will Crush Both Palantir and BigBear.ai in 2026,0.252608,Somewhat-Bullish,META
2025-11-20 20:23:00,FOX NEWS DIGITAL FINISHES OCTOBER DOMINATING ALL BROADCAST AND NEWS COMPETITORS WITH MULTIPLATFORM VIEWS AND MINUTES,0.088061,Neutral,META
2025-11-20 20:07:04,"PRMB INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Primo Brands - Primo Brands  ( NYSE:PRMB ) ",0.119986,Neutral,META
2025-11-20 20:04:49,"Deadline Alert: Stride, Inc.  ( LRN )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - Stride  ( NYSE:LRN ) ",-0.06566,Neutral,META
2025-11-20 20:00:00,Prediction: This AI Stock Could Quietly Outperform Wall Street Favorites,0.329648,Somewhat-Bullish,META
2025-11-20 19:58:51,"Deadline Alert: Inspire Medical Systems, Inc.  ( INSP )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - Inspire Medical Systems  ( NYSE:INSP ) ",0.078302,Neutral,META
2025-11-20 19:58:40,"Deadline Alert: Avantor, Inc.  ( AVTR )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - Avantor  ( NYSE:AVTR ) ",0.002443,Neutral,META
2025-11-20 19:57:21,Deadline Alert: Marex Group PLC  ( MRX )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - Marex Group  ( NASDAQ:MRX ) ,0.079655,Neutral,META
2025-11-20 19:55:16,Deadline Alert: WPP plc  ( WPP )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - WPP  ( NYSE:WPP ) ,0.014639,Neutral,META
2025-11-20 19:53:40,Deadline Alert: Telix Pharmaceuticals Limited  ( TLX )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - Telix Pharmaceuticals  ( NASDAQ:TLX ) ,-0.014568,Neutral,META
2025-11-20 19:53:17,"AGL Investor News: If You Have Suffered Losses in agilon health, inc.  ( NYSE: AGL ) , You Are Encouraged to Contact The Rosen Law Firm About Your Rights - Agilon Health  ( NYSE:AGL ) ",0.173501,Somewhat-Bullish,META
2025-11-20 19:46:58,"WPP INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of WPP - WPP  ( NYSE:WPP ) ",0.123518,Neutral,META
2025-11-20 19:44:02,"Take 5 Oil Change Opens First Philadelphia Shop, Announces December Charitable Event",0.291515,Somewhat-Bullish,META
2025-11-20 19:41:17,"WESFX INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Wildermuth Fund",0.172204,Somewhat-Bullish,META
2025-11-20 19:36:03,"TVRD INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Tvardi Therapeutics - Tvardi Therapeutics  ( NASDAQ:TVRD ) ",0.11734,Neutral,META
2025-11-20 19:24:55,"TLX INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Telix Pharmaceuticals - Telix Pharmaceuticals  ( NASDAQ:TLX ) ",0.0171,Neutral,META
2025-11-20 19:22:45,"NJDCY INVESTOR ALERT: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Nidec - Nidec  ( OTC:NJDCY ) ",0.062719,Neutral,META
2025-11-20 19:18:55,"MLTX INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of MoonLake Immunotherapeutics - MoonLake  ( NASDAQ:MLTX ) ",0.157921,Somewhat-Bullish,META
2025-11-20 19:18:34,"SKYE INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Skye Bioscience - Skye Bioscience  ( NASDAQ:SKYE ) ",0.133881,Neutral,META
2025-11-20 19:17:46,"LRN INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Stride - Stride  ( NYSE:LRN ) ",0.067928,Neutral,META
2025-11-20 19:14:33,"MOH INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Molina Healthcare - Molina Healthcare  ( NYSE:MOH ) ",0.119847,Neutral,META
2025-11-20 19:11:52,"SNPS INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Synopsys - Synopsys  ( NASDAQ:SNPS ) ",0.126963,Neutral,META
2025-11-20 19:03:34,"JHX INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of James Hardie - James Hardie Industries  ( NYSE:JHX ) ",0.149942,Neutral,META
2025-11-20 18:56:03,"FCX INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Freeport-McMoran - Freeport-McMoRan  ( NYSE:FCX ) ",-0.039107,Neutral,META
2025-11-20 18:56:00,"FLY INVESTOR NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Firefly Aerospace - Firefly Aerospace  ( NASDAQ:FLY ) ",0.096125,Neutral,META
