time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:30:00,Why Coca-Cola's Business Model Still Wins After 100 Years,0.310605,Somewhat-Bullish,PEP
2025-11-21 09:15:00,Read This Before Buying PepsiCo Stock,0.060417,Neutral,PEP
2025-11-20 17:10:00,Does Celsius Holdings' Buyback Plan Signal Stronger Growth Ahead?,0.325336,Somewhat-Bullish,PEP
2025-11-20 08:11:00,The High-Yield ETF I'm Buying for Passive Income This November,0.495655,Bullish,PEP
2025-11-19 15:24:00,PepsiCo's 2025 Playbook: Can Cost Cuts Fund an Innovation-Led Rebound?,0.32839,Somewhat-Bullish,PEP
2025-11-19 14:50:04,Here's Why Yum Brands  ( YUM )  is a Strong Momentum Stock,0.355408,Bullish,PEP
2025-11-19 14:15:00,Don't Give Up on Dividend Stocks. 5 Dividend Kings Down Between 5% and 33% to Buy in November,0.264236,Somewhat-Bullish,PEP
2025-11-19 13:23:00,Collegium Pharma and Entegris have been highlighted as Zacks Bull and Bear of the Day,0.225902,Somewhat-Bullish,PEP
2025-11-19 08:53:00,"The Zacks Analyst Blog Highlights Molson Coors, Chefs' Warehouse, Ambev and PepsiCo",0.145013,Neutral,PEP
2025-11-19 01:02:00,3 Stocks That Could Create Lasting Generational Wealth,0.19182,Somewhat-Bullish,PEP
2025-11-18 18:48:00,"Can Coca-Cola's ""All-Weather"" Strategy Keep Earnings Bubbling?",0.457503,Bullish,PEP
2025-11-18 17:10:00,Beer Business Softness Deepens: Can Molson Coors Reignite Core Brands?,0.138711,Neutral,PEP
2025-11-17 18:45:00,Consumer Brands Shake Things Up...With Mergers,0.0971,Neutral,PEP
2025-11-17 13:37:00,Buy 5 Consumer Staples Stocks Despite the Sector's Weak Show in 2025,0.443276,Bullish,PEP
2025-11-16 09:35:00,My 3 Favorite Stocks to Buy Right Now,0.382905,Bullish,PEP
2025-11-15 00:01:00,1 Growth Stock Down 30% to Buy Right Now,0.305225,Somewhat-Bullish,PEP
2025-11-14 20:00:35,A Look Into PepsiCo Inc's Price Over Earnings - PepsiCo  ( NASDAQ:PEP ) ,0.028564,Neutral,PEP
2025-11-14 17:11:27,XLP vs. IYK: Which is the Better Consumer Staples ETF?,0.161812,Somewhat-Bullish,PEP
2025-11-14 13:49:00,Is Monster Beverage's Zero-Sugar Push Reshaping Energy Drink Trends?,0.337817,Somewhat-Bullish,PEP
2025-11-13 09:45:00,"3 Growth Stocks Wall Street Might Be Sleeping On, but I'm Not",0.21258,Somewhat-Bullish,PEP
2025-11-12 17:13:00,Can KDP Sustain Its Growth Amid Cost Pressures & Coffee Headwinds?,0.217455,Somewhat-Bullish,PEP
2025-11-12 17:07:00,Coca-Cola Holds Value Share Lead Despite Latin America Flatline,0.471303,Bullish,PEP
2025-11-12 14:45:04,Why Yum Brands  ( YUM )  is a Top Growth Stock for the Long-Term,0.453898,Bullish,PEP
2025-11-12 13:26:00,CELH Stock Down 27% After Q3 Results: Should You Buy the Dip?,0.312022,Somewhat-Bullish,PEP
2025-11-11 23:06:02,Tesla's First Semi Vehicle Customer After Full Production Launch Is….Tesla? - Tesla  ( NASDAQ:TSLA ) ,0.12097,Neutral,PEP
2025-11-11 18:13:00,Coca-Cola's Premium Price Tag: Is the Stock Still Worth Buying?,0.464431,Bullish,PEP
2025-11-11 18:07:00,PepsiCo Slips Below 50-Day SMA: Bargain Opportunity or Red Flag?,0.308594,Somewhat-Bullish,PEP
2025-11-11 14:23:00,2 Dividend Stocks to Double Up on Right Now,0.312163,Somewhat-Bullish,PEP
2025-11-11 13:03:00,Celsius Holdings' Q3 Revenues Hit $725M: Will the Momentum Last?,0.312187,Somewhat-Bullish,PEP
