time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 13:20:00,"Dolby's Q4 Earnings & Revenues Surpass Estimates, Increase Y/Y",0.133794,Neutral,SONO
2025-11-11 12:11:00,"SONY Q2 Earnings & Revenues Rise Y/Y, View Up on G&NS & Music Momentum",0.109025,Neutral,SONO
2025-11-07 13:38:00,"GoPro's Q3 Loss Wider Than Expected, Revenues Fall Y/Y, Stock Down",0.156218,Somewhat-Bullish,SONO
2025-11-06 14:00:00,"Sonos Posts Q4 Loss, Revenues Surpass Estimates & Rise Y/Y",0.03371,Neutral,SONO
2025-11-06 13:45:35,Sonos Analysts Boost Their Forecasts After Upbeat Q4 Results - Sonos  ( NASDAQ:SONO ) ,0.16945,Somewhat-Bullish,SONO
2025-11-05 15:42:31,"Sonos Stock Climbs After Beating Q4 Estimates, Guides For Strong First Quarter And New Phase Focused On Unified Sound Platform - Sonos  ( NASDAQ:SONO ) ",0.113335,Neutral,SONO
2025-11-05 14:20:02,"Sonos  ( SONO )  Reports Q4 Loss, Tops Revenue Estimates",0.125524,Neutral,SONO
2025-11-04 13:21:00,Sonos to Report Q4 Earnings: What Should Investors Expect?,0.203703,Somewhat-Bullish,SONO
2025-11-03 21:53:00,"Datavault AI, Music Dash and NFHITS Partner to Transform Music Data Tracking Display and Monetization Through Patented Inaudible Tones®, AI and Blockchain Technology",0.345747,Somewhat-Bullish,SONO
2025-11-03 20:39:00,"Datavault AI, Music Dash and NFHITS Partner to Transform Music Data Tracking Display and Monetization Through Patented Inaudible Tones®, AI and Blockchain Technology",0.343645,Somewhat-Bullish,SONO
2025-10-15 13:30:00,unitQ analysis: App quality issues up 2.8% after iOS 26 launch,0.043644,Neutral,SONO
2025-10-09 13:48:00,Sonos Up 63% in 3 Months: Where Will the Stock Head From Here?,0.26087,Somewhat-Bullish,SONO
2025-10-03 13:40:05,Is SOHO HOUSE&CO  ( SHCO )  Stock Outpacing Its Consumer Discretionary Peers This Year?,0.19683,Somewhat-Bullish,SONO
